word,frequency,genre
cold,4,blues
summer,1,blues
night,43,blues
salli,2,blues
slip,2,blues
away,33,blues
door,16,blues
left,10,blues
open,5,blues
wide,1,blues
word,1,blues
say,12,blues
hard,3,blues
luck,2,blues
took,2,blues
toll,1,blues
blame,1,blues
none,7,blues
today,8,blues
might,10,blues
tomorrow,8,blues
knew,3,blues
better,13,blues
fare,1,blues
girl,19,blues
home,23,blues
hope,4,blues
settl,1,blues
life,10,blues
world,7,blues
roam,2,blues
let,19,blues
prayer,4,blues
heard,4,blues
guid,1,blues
way,31,blues
three,11,blues
year,6,blues
chang,1,blues
sinc,12,blues
held,1,blues
near,2,blues
road,17,blues
look,23,blues
everywher,3,blues
seen,4,blues
color,5,blues
hair,2,blues
ill,11,blues
hobo,1,blues
son,3,blues
sure,12,blues
day,24,blues
whittl,1,blues
hour,1,blues
memori,2,blues
blade,3,blues
carv,1,blues
hand,10,blues
dear,4,blues
find,7,blues
send,7,blues
babi,158,blues
come,43,blues
man,35,blues
doctor,5,blues
hot,9,blues
spring,2,blues
help,4,blues
get,38,blues
unruli,2,blues
think,16,blues
wan,2,blues
take,19,blues
cut,2,blues
half,1,blues
two,3,blues
got,78,blues
special,4,blues
believ,15,blues
light,10,blues
make,15,blues
cap,3,blues
alright,1,blues
im,139,blues
gonna,33,blues
shoot,7,blues
pistol,2,blues
gatl,2,blues
gun,4,blues
gotta,8,blues
made,7,blues
love,83,blues
ahoh,3,blues
stay,25,blues
last,24,blues
ahah,1,blues
tangl,1,blues
aint,18,blues
talk,8,blues
right,36,blues
boy,18,blues
well,38,blues
aburn,1,blues
wisconsin,1,blues
hey,40,blues
sun,6,blues
wa,33,blues
shine,5,blues
bright,1,blues
rest,2,blues
lay,5,blues
breast,1,blues
feel,23,blues
lonesom,4,blues
hear,12,blues
moan,5,blues
drivin,3,blues
terraplan,3,blues
gone,22,blues
id,5,blues
said,30,blues
flash,2,blues
mama,38,blues
horn,2,blues
wont,22,blues
even,5,blues
blow,3,blues
somebodi,1,blues
runnin,2,blues
batteri,2,blues
machin,1,blues
short,1,blues
connect,3,blues
hoo,12,blues
babe,12,blues
goin,13,blues
heist,2,blues
hood,2,blues
bound,2,blues
check,2,blues
oil,2,blues
woman,28,blues
lovin,7,blues
arkansa,1,blues
know,39,blues
coil,1,blues
buzzin,1,blues
littl,42,blues
gener,1,blues
spark,3,blues
motor,1,blues
bad,10,blues
condit,1,blues
charg,1,blues
cryin,7,blues
pleas,18,blues
wrong,14,blues
mr,1,blues
highway,3,blues
block,4,blues
caus,12,blues
reachin,1,blues
hundr,3,blues
book,3,blues
go,43,blues
yoo,1,blues
weep,9,blues
gon,13,blues
keep,18,blues
tanglin,2,blues
wire,2,blues
oh,27,blues
mash,1,blues
starter,1,blues
plug,1,blues
give,13,blues
fire,5,blues
fair,7,blues
deal,6,blues
good,28,blues
lord,29,blues
gulfport,6,blues
island,7,blues
ida,2,blues
bell,2,blues
cri,22,blues
time,72,blues
bout,10,blues
nickel,2,blues
die,5,blues
dime,1,blues
wouldnt,4,blues
money,3,blues
mind,20,blues
captain,3,blues
mean,9,blues
camp,3,blues
sing,11,blues
work,6,blues
back,28,blues
thing,29,blues
ring,3,blues
soon,5,blues
gulf,1,blues
port,1,blues
drum,1,blues
still,8,blues
play,8,blues
see,42,blues
march,1,blues
close,4,blues
walk,6,blues
like,42,blues
shadow,1,blues
danc,4,blues
ghost,1,blues
jimmi,7,blues
scare,1,blues
river,7,blues
rat,5,blues
jehosophat,5,blues
boyhood,1,blues
mumblypeg,1,blues
six,1,blues
inch,1,blues
bowi,1,blues
top,1,blues
redw,1,blues
kicker,1,blues
muddi,1,blues
slipperi,1,blues
grade,3,blues
fever,1,blues
pitch,1,blues
savannah,1,blues
grand,1,blues
daddi,4,blues
ghosti,1,blues
face,7,blues
ate,1,blues
kitchen,7,blues
floor,1,blues
womanmum,1,blues
threw,1,blues
dinner,1,blues
plate,1,blues
drunken,1,blues
dad,2,blues
would,17,blues
cop,1,blues
beer,8,blues
eye,8,blues
soar,1,blues
shout,2,blues
revel,1,blues
boychild,1,blues
ten,5,blues
heaven,4,blues
wrap,1,blues
bloodi,1,blues
finger,3,blues
shineey,1,blues
mister,3,blues
zen,2,blues
sholi,2,blues
neither,1,blues
u,2,blues
whod,1,blues
pop,1,blues
sink,1,blues
lake,1,blues
run,18,blues
fast,1,blues
enough,2,blues
bow,1,blues
string,2,blues
