word,frequency,genre
true,5,blues
love,65,blues
goneha,2,blues
play,4,blues
fool,3,blues
im,113,blues
turnin,3,blues
tabl,1,blues
playin,2,blues
dirti,6,blues
pool,2,blues
said,30,blues
call,12,blues
shot,3,blues
darlin,9,blues
friend,18,blues
thought,5,blues
wa,33,blues
cool,4,blues
babi,137,blues
yeah,19,blues
eightbal,1,blues
knew,3,blues
say,9,blues
lifelif,2,blues
game,2,blues
give,11,blues
take,18,blues
tellin,1,blues
thing,28,blues
right,25,blues
littl,41,blues
wont,20,blues
pay,3,blues
mistak,1,blues
mari,1,blues
lamb,2,blues
fleec,1,blues
white,1,blues
snow,1,blues
everywher,3,blues
child,3,blues
went,9,blues
sure,9,blues
go,35,blues
follow,2,blues
school,2,blues
day,23,blues
broke,1,blues
teacher,1,blues
time,69,blues
tisket,1,blues
tasket,1,blues
green,2,blues
yellow,1,blues
basket,1,blues
sent,1,blues
letter,2,blues
way,30,blues
past,2,blues
well,33,blues
heard,4,blues
givin,1,blues
sight,1,blues
blind,1,blues
lovin,4,blues
caus,11,blues
sun,6,blues
shine,4,blues
sweet,17,blues
pride,5,blues
joy,5,blues
lover,6,blues
boy,18,blues
heart,13,blues
soul,5,blues
like,28,blues
grow,3,blues
old,17,blues
long,15,blues
lean,2,blues
mess,2,blues
see,27,blues
man,34,blues
get,34,blues
mean,9,blues
finest,1,blues
wine,2,blues
stick,1,blues
end,6,blues
struck,7,blues
must,1,blues
confess,1,blues
life,9,blues
without,1,blues
solid,1,blues
thinkin,1,blues
bout,10,blues
thrill,1,blues
gotta,6,blues
fill,1,blues
ya,3,blues
know,32,blues
still,6,blues
rememb,1,blues
let,12,blues
make,13,blues
feel,17,blues
forget,3,blues
swore,1,blues
ton,1,blues
brick,1,blues
hit,3,blues
head,5,blues
aint,17,blues
yet,3,blues
everi,12,blues
fine,3,blues
beatin,1,blues
crazi,5,blues
blood,1,blues
runnin,2,blues
wild,1,blues
mighti,2,blues
got,60,blues
spark,3,blues
start,2,blues
flyin,1,blues
meet,3,blues
tell,13,blues
knock,3,blues
foot,6,blues
kiss,2,blues
trip,1,blues
theyr,2,blues
doggon,3,blues
beat,2,blues
floodin,2,blues
texa,2,blues
telephon,2,blues
line,4,blues
tryin,2,blues
lord,29,blues
singl,1,blues
sound,1,blues
dark,8,blues
cloud,2,blues
rollin,3,blues
standin,5,blues
rain,5,blues
flood,2,blues
water,2,blues
keep,16,blues
drive,5,blues
poor,6,blues
insan,1,blues
leavin,4,blues
goin,13,blues
back,25,blues
home,18,blues
stay,24,blues
tornado,1,blues
mewhat,2,blues
world,7,blues
wrong,10,blues
woke,3,blues
mornintroubl,1,blues
knockin,3,blues
door,14,blues
wonder,5,blues
what,3,blues
troublegreat,2,blues
big,3,blues
troubl,15,blues
ye,14,blues
macondont,1,blues
wanna,5,blues
id,5,blues
better,12,blues
itlet,2,blues
pa,6,blues
sometimehow,1,blues
gonna,30,blues
last,23,blues
goodby,9,blues
hangin,1,blues
round,5,blues
hereworri,1,blues
knockintroubl,2,blues
knockinc,1,blues
kind,2,blues
mama,38,blues
anyth,3,blues
evilheart,1,blues
woman,27,blues
oooh,1,blues
realli,2,blues
stand,5,blues
leav,14,blues
aaint,1,blues
mister,3,blues
johnson,1,blues
drink,3,blues
worri,5,blues
treat,12,blues
begin,2,blues
think,13,blues
oh,20,blues
babe,11,blues
break,4,blues
soandso,1,blues
name,4,blues
kindheart,2,blues
studi,3,blues
evil,8,blues
kill,6,blues
mind,17,blues
person,4,blues
want,11,blues
fun,5,blues
come,38,blues
friar,6,blues
point,6,blues
barrelhous,4,blues
night,32,blues
vicksburg,4,blues
clean,4,blues
tennesse,4,blues
rider,10,blues
hop,2,blues
gon,13,blues
state,4,blues
color,5,blues
front,4,blues
teeth,4,blues
crown,5,blues
gold,7,blues
mortgag,2,blues
bodi,7,blues
lien,2,blues
rosedal,4,blues
side,15,blues
riversid,3,blues
squeez,4,blues
lemon,4,blues
til,8,blues
juic,6,blues
run,15,blues
leg,8,blues
talk,7,blues
that,8,blues
rock,5,blues
drum,1,blues
march,1,blues
close,4,blues
walk,6,blues
shadow,1,blues
danc,4,blues
ghost,1,blues
look,21,blues
jimmi,7,blues
scare,1,blues
river,7,blues
rat,5,blues
jehosophat,5,blues
boyhood,1,blues
mumblypeg,1,blues
six,1,blues
inch,1,blues
bowi,1,blues
blade,3,blues
top,1,blues
redw,1,blues
kicker,1,blues
muddi,1,blues
slipperi,1,blues
grade,3,blues
fever,1,blues
pitch,1,blues
savannah,1,blues
grand,1,blues
daddi,4,blues
lay,5,blues
ghosti,1,blues
face,6,blues
ate,1,blues
kitchen,7,blues
floor,1,blues
womanmum,1,blues
threw,1,blues
dinner,1,blues
plate,1,blues
drunken,1,blues
dad,2,blues
would,17,blues
cop,1,blues
beer,8,blues
eye,6,blues
soar,1,blues
shout,2,blues
revel,1,blues
boychild,1,blues
ten,1,blues
heaven,3,blues
wrap,1,blues
bloodi,1,blues
finger,2,blues
shineey,1,blues
zen,2,blues
sholi,2,blues
neither,1,blues
u,2,blues
whod,1,blues
pop,1,blues
sink,1,blues
lake,1,blues
fast,1,blues
enough,2,blues
bow,1,blues
string,2,blues
cri,22,blues
tomorrow,8,blues
shake,21,blues
cold,3,blues
summer,1,blues
salli,2,blues
slip,2,blues
away,29,blues
left,9,blues
open,2,blues
wide,1,blues
word,1,blues
hard,1,blues
luck,2,blues
took,2,blues
toll,1,blues
blame,1,blues
none,7,blues
today,8,blues
might,8,blues
fare,1,blues
girl,19,blues
hope,3,blues
settl,1,blues
roam,2,blues
prayer,4,blues
guid,1,blues
three,11,blues
year,6,blues
chang,1,blues
sinc,10,blues
held,1,blues
near,1,blues
road,16,blues
seen,4,blues
hair,2,blues
ill,10,blues
hobo,1,blues
son,3,blues
whittl,1,blues
hour,1,blues
memori,2,blues
carv,1,blues
hand,10,blues
dear,4,blues
find,5,blues
milk,10,blues
cow,7,blues
earth,3,blues
ooo,4,blues
eee,3,blues
calf,3,blues
hoo,12,blues
blue,21,blues
hungri,3,blues
believ,11,blues
need,5,blues
suck,3,blues
outta,1,blues
milkin,1,blues
churnin,1,blues
turn,5,blues
cryin,7,blues
pleas,17,blues
nowhow,1,blues
ramblin,7,blues
hee,1,blues
mile,2,blues
around,15,blues
bull,1,blues
strang,1,blues
town,15,blues
possess,2,blues
judgment,2,blues
wouldnt,4,blues
pray,1,blues
mountain,2,blues
far,4,blues
could,10,blues
lonesom,4,blues
roll,7,blues
tumbl,3,blues
whole,2,blues
morn,11,blues
biscuit,1,blues
roller,1,blues
gone,22,blues
fold,2,blues
arm,3,blues
slowli,2,blues
done,13,blues
yo,1,blues
set,2,blues
knee,5,blues
shed,2,blues
tear,2,blues
broken,2,blues
famili,2,blues
glass,2,blues
whiskey,3,blues
anoth,7,blues
ha,4,blues
nowher,1,blues
much,1,blues
stop,1,blues
tri,7,blues
meant,3,blues
told,4,blues
grab,1,blues
suitcas,1,blues
kid,1,blues
place,4,blues
itch,1,blues
wander,4,blues
grey,1,blues
wrinkl,1,blues
arent,1,blues
behind,4,blues
lose,1,blues
mayb,3,blues
tonight,5,blues
reach,1,blues
neck,3,blues
promis,3,blues
shoebox,1,blues
full,1,blues
bone,1,blues
lie,1,blues
crow,1,blues
anyon,1,blues
whatev,1,blues
happen,2,blues
fall,2,blues
wheel,1,blues
fiddl,1,blues
tune,1,blues
devil,3,blues
heel,1,blues
wobbl,1,blues
sing,9,blues
bird,5,blues
mumbl,1,blues
moan,5,blues
wake,2,blues
damn,1,blues
wish,4,blues
magic,1,blues
dream,7,blues
saw,2,blues
scream,1,blues
couldnt,4,blues
movin,2,blues
fallin,5,blues
hail,4,blues
umm,1,blues
mmm,31,blues
worryin,1,blues
hellhound,3,blues
trail,3,blues
christma,5,blues
eve,3,blues
aw,1,blues
huh,2,blues
sprinkl,2,blues
hot,4,blues
powder,2,blues
hmm,6,blues
wind,4,blues
risin,4,blues
leaf,2,blues
tremblin,3,blues
tree,3,blues
compani,3,blues
hey,23,blues
earli,4,blues
mornin,8,blues
upon,2,blues
whoooo,4,blues
hello,1,blues
satan,1,blues
walkin,5,blues
satisfi,1,blues
dog,3,blues
doin,1,blues
dontcha,1,blues
musta,1,blues
spirit,2,blues
deep,2,blues
ground,6,blues
may,10,blues
buri,4,blues
highway,3,blues
care,5,blues
dead,2,blues
greyhound,1,blues
bu,1,blues
ride,3,blues
kati,9,blues
cellar,1,blues
clover,1,blues
soft,2,blues
low,5,blues
mother,4,blues
hold,1,blues
hear,11,blues
die,5,blues
use,2,blues
boneyard,1,blues
laid,3,blues
deed,2,blues
quit,7,blues
sharpen,3,blues
razor,3,blues
pick,4,blues
piec,5,blues
moonless,3,blues
pocket,3,blues
sorrow,1,blues
final,1,blues
silenc,1,blues
wood,1,blues
god,5,blues
late,3,blues
steel,1,blues
across,2,blues
suffer,5,blues
train,11,blues
corner,1,blues
hang,3,blues
carri,7,blues
ash,2,blues
dust,2,blues
show,3,blues
trust,1,blues
wreck,1,blues
engin,1,blues
fireman,1,blues
bring,3,blues
smokecloud,2,blues
rise,2,blues
west,3,blues
best,2,blues
sky,1,blues
rambl,2,blues
hate,3,blues
unkind,2,blues
stone,6,blues
passway,4,blues
seem,3,blues
pain,1,blues
taken,4,blues
appetit,1,blues
whistl,2,blues
enemi,3,blues
betray,2,blues
overtaken,2,blues
bob,5,blues
ere,1,blues
certainli,1,blues
howl,3,blues
truck,2,blues
block,4,blues
asham,1,blues
book,3,blues
lone,6,blues
mountainsid,1,blues
bottom,5,blues
hundr,3,blues
worn,1,blues
smooth,1,blues
grandmoth,1,blues
sit,7,blues
chair,2,blues
wait,2,blues
fear,1,blues
light,6,blues
dusti,1,blues
dri,4,blues
bucket,2,blues
rope,2,blues
whenc,1,blues
came,2,blues
hadnt,3,blues
someon,3,blues
figur,1,blues
lower,1,blues
gun,4,blues
shoot,7,blues
middl,1,blues
claw,1,blues
stare,1,blues
good,25,blues
spare,2,blues
mistreat,3,blues
reason,2,blues
wring,1,blues
bear,1,blues
apolog,1,blues
sympath,2,blues
brown,3,blues
skin,1,blues
ay,2,blues
